회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
BYC,001460,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",6/2/1975,12월,유 중 화,http://www.byc.co.kr,서울특별시
CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",12/24/2004,12월,서 정,http://www.cgv.co.kr,서울특별시
CJ씨푸드,011150,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",11/26/1988,12월,"유병철, 강신호(각자대표)",http://www.cjseafood.net,경기도
DSR제강,069730,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",1/28/2003,12월,홍하종,http://www.dsrcorp.com,전라남도
KB금융,105560,기타 금융업,-,10/10/2008,12월,윤종규,http://www.kbfg.com,서울특별시
KC그린홀딩스,009440,기타 금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",11/5/1994,12월,이태영,http://www.kcgreenholdings.com,서울특별시
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",4/20/2009,12월,오장수,http://www.lghausys.com,서울특별시
LS전선아시아,229640,기타 금융업,,9/22/2016,12월,신용현,http://www.lscnsasia.co.kr,경기도
MH에탄올,023150,알코올음료 제조업,"주정,탄산가스 제조",12/24/1996,12월,윤현의,http://www.mhethanol.com,경상남도
S&T홀딩스,036530,기타 금융업,"지배,경영지도,정리,육성",10/22/2002,12월,김도환,http://www.hisntholdings.com,서울특별시
SBS미디어홀딩스,101060,기타 금융업,지주회사,3/24/2008,12월,이웅모,http://www.sbsmedia.co.kr,서울특별시
SK텔레콤,017670,전기 통신업,"이동전화,무선호출서비스,부가통신",11/7/1989,12월,박정호,http://www.sktelecom.com,서울특별시
STX중공업,071970,일반 목적용 기계 제조업,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)",5/15/2009,12월,정태화,http://www.stxhi.co.kr,경상남도
계양전기,012200,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신),자동차용 D.C모터,엔진 제조",7/6/1988,12월,"단재완,정한수",http://www.keyang.co.kr,서울특별시
골든브릿지증권,001290,금융 지원 서비스업,유가증권 매매,9/23/1988,12월,박정하,http://www.bridgefn.com,서울특별시
기업은행,024110,은행 및 저축기관,은행업,12/24/2003,12월,"Kim, Do-jin",http://www.kiupbank.co.kr,서울특별시
깨끗한나라,004540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",6/25/1975,12월,최병민,http://www.kleannara.com,서울특별시
남광토건,001260,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",12/28/1976,12월,김종오,http://www.namkwang.co.kr,경기도
남해화학,025860,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매",11/10/1995,12월,이광록,http://www.nhchem.co.kr,서울특별시
대구백화점,006370,종합 소매업,"백화점운영,임대사업(백화점 코너)",10/10/1988,12월,구정모,http://www.debec.co.kr,대구광역시
대신증권,003540,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",10/1/1975,12월,나재철,http://www.daishin.com,서울특별시
대우건설,047040,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",3/23/2001,12월,송문선,http://daewooenc.co.kr,서울특별시
대한제분,001130,"곡물가공품, 전분 및 전분제품 제조업","소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매",11/25/1970,12월,"이건영, 박현용",http://www.dhflour.co.kr,서울특별시
대한항공,003490,항공 여객 운송업,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",3/18/1966,12월,"조양호, 조원태, 우기홍",http://www.koreanair.com,서울특별시
대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점",4/23/1992,12월,김용완,http://www.korealines.co.kr,서울특별시
덕양산업,024900,자동차 신품 부품 제조업,"자동차부품(CRASH PAD,TRIM PANEL) 제조,판매",6/23/1997,12월,"윤성희,이종숙(각자대표이사)",http://www.duckyang.co.kr,울산광역시
덴티움,145720,의료용 기기 제조업,치과용 기기 제조업,3/15/2017,12월,"강희택,김용근",http://www.dentium.co.kr,서울특별시
디씨엠,024090,1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",8/18/1999,12월,정연택,http://www.dcmcorp.co.kr,경상남도
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기,1/28/2010,12월,"김준일, 김성태",,충청남도
롯데케미칼,011170,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",5/30/1991,12월,김교현,http://www.lottechem.com,서울특별시
마니커,027740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",10/29/2002,12월,이창우,http://www.maniker.co.kr,경기도
메리츠종금증권,008560,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",1/15/1992,12월,최희문,http://www.imeritz.com,서울특별시
모토닉,009680,자동차 신품 부품 제조업,"자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매",1/14/1994,12월,"김영봉, 신현돈(각자 대표이사)",http://www.motonic.co.kr,서울특별시
보락,002760,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",11/30/1989,12월,정기련,http://www.bolak.co.kr,경기도
보령제약,003850,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",10/24/1988,12월,"김은선, 최태홍 각자대표",http://www.boryung.co.kr,서울특별시
부광약품,003000,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",8/5/1988,12월,"유희원, 김상훈(공동대표이사)",http://www.bukwang.co.kr,서울특별시
사조해표,079660,기타 식품 제조업,"식용유 제조/농수산물,식용유 도매,무역/부동산 임대",9/21/2004,12월,김상훈,http://www.sajohp.com,서울특별시
삼성물산,028260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",12/18/2014,12월,"최치훈, 김신, 김봉영",http://www.samsungcnt.com,서울특별시
삼성화재해상보험,000810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",6/30/1975,12월,안민수,http://www.samsungfire.com,서울특별시
삼양통상,002170,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",11/10/1989,12월,허남각,http://www.samyangts.com,서울특별시
삼정펄프,009770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",10/17/2006,12월,전성오,http://www.sjpulp.com,경기도
삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",5/12/2005,12월,김락중,http://www.samhodev.co.kr/,충청남도
삼화전자공업,011230,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",5/25/1987,12월,"오영주, 송정권(각자대표)",http://www.samwha.co.kr,경기도
새론오토모티브,075180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝,허브,캠),분말야금제품,에어콘,냉장고용부품 제조,도매",10/21/2005,12월,"서인석, 니시하라코지(공동대표이사)",http://www.saeronauto.co.kr,충청남도
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2/16/2011,12월,이범권,,경기도
성창기업지주,000180,회사 본부 및 경영 컨설팅 서비스업,"베니아합판,특수합판,마루판,바티칼보드,비금속광물(비타일,그라비아) 제조",6/2/1976,12월,우인석,http://www.sce.co.kr,부산광역시
세아특수강,019440,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",6/1/2011,12월,유을봉,http://www.seahsp.co.kr,경상북도
신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",7/14/2011,12월,차정호,http://www.sikorea.co.kr,서울특별시
신풍제지,002870,"펄프, 종이 및 판지 제조업","마닐라판지 제조,도소매",6/30/1976,12월,정동원,http://www.shinpoongpaper.com,경기도
신흥,004080,기계장비 및 관련 물품 도매업,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대",2/8/1991,12월,이용익,http://www.shinhung.co.kr,서울특별시
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,11/27/2014,12월,"김성권, 김성섭",http://www.cswindcorp.com,충청남도
아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",12/18/1973,12월,전용주,http://www.ihq.co.kr,서울특별시
암니스,007630,통신 및 방송 장비 제조업,"정밀전자계측기,이동통신장비,무선호출기,파형관측기,인공위성수신기 제조",10/24/1988,12월,"고재목, 정운창 (각자 대표이사)",http://www.gsinstrument.com,인천광역시
에스원,012750,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라",1/30/1996,12월,"육현표, 키다코이치",http://www.s1.co.kr,서울특별시
에스제이엠홀딩스,025530,기타 금융업,지주회사및경영자문,2/12/1997,12월,"김용호, 김휘중(각자대표이사)",http://www.sjmholdings.co.kr,경기도
예스코,015360,연료용 가스 제조 및 배관공급업,"도시가스,가스기기 도매/설비건설",12/24/1996,12월,"천성복, 정창시 (각자대표)",http://www.gaspia.com,서울특별시
오뚜기,007310,기타 식품 제조업,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",8/12/1994,12월,"함영준,이강훈",http://www.ottogi.co.kr,경기도
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,7/26/2010,12월,"이성범, 이재상 각자대표",http://www.woojininc.com,경기도
우진플라임,049800,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",5/24/2006,12월,김익환,http://www.woojinplaimm.com,충청북도
유니켐,011330,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대",12/14/1989,12월,이장원,http://www.uni-chem.net,경기도
유진증권,001200,금융 지원 서비스업,"유가증권 매매,중개,인수",8/24/1987,12월,유창수 대표이사,http://www.eugenefn.com,서울특별시
이노션,214320,광고업,광고대행 및 광고물의 제작 등,7/17/2015,12월,안건희,http://www.innocean.com,서울특별시
이마트,139480,종합 소매업,대형마트,6/10/2011,12월,이갑수,http://emartcompany.comkomain.do,서울특별시
이수페타시스,007660,전자부품 제조업,"P.C.B(인쇄회로기판),M.L.B 제조",10/7/2003,12월,김성민,http://www.petasys.com,대구광역시
인지컨트롤스,023800,자동차 신품 부품 제조업,"자동차부품(터머스위치,터머스탯) 제조",6/23/1997,12월,"대표이사 정구용, 대표이사 김양수",http://www.inzi.co.kr,경기도
인터지스,129260,도로 화물 운송업,"화물운송,알선,하역",12/16/2011,12월,이인식,http://www.intergis.co.kr,부산광역시
일신방직,003200,방적 및 가공사 제조업,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",5/23/1973,12월,김정수,http://www.ilshin.co.kr,서울특별시
일진디스플,020760,반도체 제조업,"박막액정표시장치(TFT-LCD) 패널,LT(리튬탄탈에이트)웨이퍼,분말야금제품(초고압용공구),보석다이아몬드 제조,판매/종합건설",1/9/2002,12월,대표이사 박제승,http://www.iljindisplay.co.kr,충청북도
지투알,035000,회사 본부 및 경영 컨설팅 서비스업,지주회사,8/11/1999,12월,김종립,http://www.lgad.co.kr,서울특별시
참엔지니어링,009310,특수 목적용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),11/12/1987,12월,김인한,http://www.charmeng.com,경기도
케이티앤지,033780,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",10/8/1999,12월,"Baek, Bok-In",http://www.ktng.com,대전광역시
코라오홀딩스,900140,기타 금융업,지주회사,11/30/2010,12월,오세영,http://www.kolaoholdings.com,케이맨 제도
코리아오토글라스,152330,유리 및 유리제품 제조업,자동차 안전 유리,12/29/2015,12월,우종철,http://kac.kccworld.co.kr,세종특별자치시
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름",2/1/2010,12월,"이웅열, 박동문, 안태환",,경기도
키위미디어그룹,012170,기타 전문 도매업,석탄(점결탄) 판매,12/20/1989,12월,정철웅,http://www.kiwimediagroup.com,서울특별시
태평양물산,007980,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",12/27/1994,12월,임석원,http://www.panpacific.co.kr,서울특별시
한국공항,005430,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업",12/28/1976,12월,강영식,http://www.kas.co.kr,서울특별시
한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",6/28/1974,12월,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),http://www.keppack.co.kr,서울특별시
한국주철관공업,000970,1차 철강 제조업,"수도용주철관,강관 제조",12/12/1969,03월,"홍동국, 김길출, 김태형",http://www.kcip.co.kr,부산광역시
한국화장품,123690,생활용품 도매업,화장품,6/1/2010,12월,이용준,http://www.ihkcos.co.kr,서울특별시
한샘,009240,생활용품 도매업,"주방가구(씽크대),인테리어가구 판매,제조/주택신축판매",7/16/2002,12월,최양하,http://www.hanssem.com,경기도
한세예스24홀딩스,016450,기타 금융업,"의류(니트) 제조,도소매,원단 제조,부동산 임대",1/6/2000,12월,"김동녕, 김기호 각자대표이사",http://www.hansaeyes24.com,서울특별시
한솔테크닉스,004710,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",7/6/1988,12월,이상용,http://www.hansollcd.co.kr,서울특별시
한신공영,004960,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",7/7/1976,12월,"태기전,최문규",http://www.hanshinc.com,경기도
한전기술,052690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,12/14/2009,12월,박구원,http://www.kepco-enc.com,경상북도
현대리바트,079430,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",11/22/2005,12월,김화응,http://www.hyundailivart.co.kr,경기도
현대산업개발,012630,건물 건설업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",10/16/1996,12월,"정몽규, 김재식",http://www.i-park.com,서울특별시
현대에이치씨엔,126560,텔레비전 방송업,방송업,12/23/2010,12월,유정석,http://www.hcn.co.kr,서울특별시
형지엘리트,093240,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",9/28/2009,06월,최병오,http://www.elitebasic.co.kr,서울특별시
호텔신라,008770,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업",3/12/1991,12월,이부진,http://www.hotelshilla.net,서울특별시
화신,010690,자동차 신품 부품 제조업,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",1/14/1994,12월,"정 서 진, 김 태 준",http://www.hwashin.co.kr,경상북도
휴스틸,005010,1차 철강 제조업,"강관(배관용,구조용,유정용) 제조,도매",6/29/1973,12월,박훈,http://www.husteel.com,서울특별시
CJ프레시웨이,051500,음·식료품 및 담배 도매업,"식자재유통, 단체급식",7/26/2001,12월,문종석,http://www.cjfreshway.com,경기도
DB라이텍,045890,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",11/28/2005,12월,이재형,http://www.fawoo.co.kr,경기도
GMR 머티리얼즈,032860,"해체, 선별 및 원료 재생업",철스크랩,7/4/1997,12월,김동은,http://www.gmrmaterials.com,충청남도
IBKS제5호스팩,254120,금융 지원 서비스업,기업인수합병,12/2/2016,12월,김형준,,서울특별시
IBKS제8호스팩,277410,금융 지원 서비스업,기업인수합병,9/29/2017,12월,박광열,,서울특별시
KD건설,044180,건물 건설업,몰드베이스(Mold Base),11/16/2000,12월,구정회,http://dymoldtech.co.kr,경기도
SCI평가정보,036120,기타 사업지원 서비스업,"채권추심,신용평가,신용조회",12/7/1999,12월,조강직,http://www.sci.co.kr,서울특별시
SG&G,040610,자동차 신품 부품 제조업,생활정보신문,4/27/2000,12월,이 의 범,http://www.sgng.com,경기도
SIMPAC Metal,090730,1차 철강 제조업,합금철,10/17/2008,12월,"최진식, 송효석",http://www.simpacanc.com,경상북도
THE E&M,089230,기타 정보 서비스업,무계목 강관 외,10/10/2006,12월,"양성휘, 남득현 (각자대표이사)",http://www.yhbm.co.kr,서울특별시
골든브릿지제4호스팩,227950,금융 지원 서비스업,기업인수 및 합병,11/18/2015,12월,박재형,,서울특별시
광림,014200,자동차용 엔진 및 자동차 제조업,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체",7/7/1993,12월,이인우,http://www.kanglim.com,충청북도
구영테크,053270,자동차 신품 부품 제조업,엔진 브라켓(Engine Bracket) 등,2/7/2002,12월,이희화,http://www.guyoungtech.com,대구광역시
국영지앤엠,006050,유리 및 유리제품 제조업,강화유리,10/7/1994,12월,최재원,http://www.kukyong.com,서울특별시
국일신동,060480,1차 비철금속 제조업,황동봉,12/29/2014,12월,"김연경,손인국 (각자대표)",http://www.kukilmetal.com,경기도
글로벌에스엠,900070,기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",12/23/2009,12월,나윤복,http://www.globalsmtech.com,케이맨 제도
나스미디어,089600,광고업,광고매체 판매,7/17/2013,12월,정기호,http://www.nasmedia.co.kr,서울특별시
네오티스,085910,자동차 신품 부품 제조업,"마이크로비트,샤프트",10/1/2007,12월,권은영,http://www.neotis.co.kr,경기도
네이블커뮤니케이션즈,153460,소프트웨어 개발 및 공급업,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안",7/19/2012,12월,"심재희, 이준원(각자대표)",http://www.nablecomm.com,서울특별시
넥스턴,089140,특수 목적용 기계 제조업,CNC자동선반,11/1/2006,12월,정영화,http://www.nexturn.co.kr,경기도
넥스트리밍,139670,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB",12/2/2011,12월,임일택,http://www.nexstreaming.com,서울특별시
녹십자엠에스,142280,의료용품 및 기타 의약 관련제품 제조업,"혈액백, 진단시약, 혈액투석액",12/17/2014,12월,김영필,http://www.greencrossms.com,경기도
뉴트리바이오텍,222040,기타 식품 제조업,건강기능식품,12/16/2015,12월,권진혁,http://www.nutribiotech.co.kr,서울특별시
다날,064260,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,7/23/2004,12월,최병우,http://www.danal.co.kr,경기도
다산네트웍스,039560,통신 및 방송 장비 제조업,네트워크 통신장비,6/22/2000,12월,남민우,http://www.dasannetworks.com,경기도
대륙제관,004780,기타 금속 가공제품 제조업,휴대용부탄가스 및 금속포장용기,12/29/1994,12월,"박봉국, 박봉준 (각자대표이사)",http://www.drcc.co.kr,서울특별시
대성파인텍,104040,자동차 신품 부품 제조업,"자동차부품(시트,도어) 제조",1/23/2009,12월,김병준,http://www.dsfinetec.com,경상남도
대아티아이,045390,소프트웨어 개발 및 공급업,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템",5/17/2001,12월,최 진 우,http://www.daeati.co.kr,경기도
대주산업,003310,동물용 사료 및 조제식품 제조업,배합사료,8/1/1992,12월,"정은섭,김창종",http://www.daejooind.co.kr,서울특별시
동부스팩3호,226440,금융 지원 서비스업,기업인수합병,10/6/2015,12월,황선국,,서울특별시
동운아나텍,094170,반도체 제조업,아날로그 반도체,6/30/2015,12월,김동철,http://www.dwanatech.com,서울특별시
디에이치피코리아,131030,의약품 제조업,티어린프리점안액,12/3/2010,12월,여대훈,http://www.dhpkorea.co.kr,충청북도
디에이테크놀로지,196490,특수 목적용 기계 제조업,2차전지설비,11/19/2014,12월,"박명관,신영천(각자대표이사)",http://www.dat21.co.kr,경기도
디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판),5/14/2004,12월,"권오일, 최봉윤",http://www.dapmc.co.kr,경기도
디엔에이링크,127120,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)",12/26/2011,12월,이종은,http://www.dnalink.com,서울특별시
디젠스,113810,자동차 신품 부품 제조업,자동차용 소음기(머플러),11/22/2012,12월,이석우,http://www.dgenx.com,충청남도
디지털대성,068930,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),10/17/2003,12월,김희선,http://www.digitaldaesung.com,서울특별시
라이브플렉스,050120,생활용품 도매업,"텐트, 원 ·부자재",4/25/2002,12월,김병진,http://www.liveplex.co.kr,서울특별시
랩지노믹스,084650,자연과학 및 공학 연구개발업,체외진단 서비스 및 제품,12/16/2014,12월,진승현,http://www.labgenomics.co.kr,경기도
로보스타,090360,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",10/17/2011,12월,김정호,http://robostar.co.kr,경기도
로스웰,900260,기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈",6/30/2016,12월,저우샹동,,홍콩
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",7/29/2015,12월,이규현,http://www.logisys.co.kr,서울특별시
마제스타,035480,유원지 및 기타 오락관련 서비스업,카지노,11/18/1999,12월,윤덕태,http://www.majestar.asia,제주특별자치도
멜파스,096640,전자부품 제조업,"터치센서 칩, 터치스크린 모듈, 터치키 모듈 제조",12/18/2009,12월,민동진,http://www.melfas.com,경기도
모다,149940,통신 및 방송 장비 제조업,무선 데이터 통신 단말기,9/25/2012,12월,김정식,http://www.modainc.co.kr,서울특별시
무림SP,001810,"펄프, 종이 및 판지 제조업","아트지,CCP지",1/4/2000,12월,김석만,http://www.moorim.co.kr,서울특별시
미코,059090,반도체 제조업,반도체 및 디스플레이 부품 제조,1/15/2002,12월,최성학,http://www.mico.kr,경기도
바이오빌,065940,기초 화학물질 제조업,"착색제, 잉크 등",1/7/2003,12월,"최영석, 강호경",http://www.pkfc.co.kr,경상남도
뷰웍스,100120,의료용 기기 제조업,X-Ray Detector,4/10/2009,12월,김후식,http://www.vieworks.com,경기도
브레인콘텐츠,066980,기타 정보 서비스업,TFT-LCD용 광기능성 필름,1/17/2003,12월,장대용,http://www.braincontents.kr,서울특별시
비츠로셀,082920,일차전지 및 축전지 제조업,리튬1차전지,10/28/2009,12월,"장승국(각자대표이사), 장순상(각자대표이사)",http://www.vitzrocell.com,충청남도
빅텍,065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류,2/5/2003,12월,"박승운, 이용국 (각자대표이사)",http://www.victek.co.kr,경기도
삼기오토모티브,122350,자동차 신품 부품 제조업,자동차부품,3/19/2010,12월,"김남곤, 김치환",http://www.samkee.com,경기도
삼보판지,023600,"펄프, 종이 및 판지 제조업","골판지,골판지상자",5/29/1996,12월,류진호,http://www.isambo.com,경기도
상신전자,263810,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",10/16/2017,12월,김승천,http://www.sangshin-e.com,경상남도
상아프론테크,089980,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품",7/21/2011,12월,이상원,http://www.sftc.co.kr,인천광역시
선데이토즈,123420,소프트웨어 개발 및 공급업,모바일게임,11/10/2010,12월,이정웅,http://corp.sundaytoz.com,경기도
성광벤드,014620,1차 철강 제조업,관이음쇠,1/11/2001,12월,안 재 일,http://www.skbend.com,부산광역시
성창오토텍,080470,자동차 신품 부품 제조업,"차량용에어컨필터,차량용공기청정기등",11/3/2006,12월,조봉관,http://www.sc-autotech.com,경기도
세미콘라이트,214310,반도체 제조업,LED Chip,6/25/2015,12월,김영진,http://www.semiconlight.com,경기도
세중,039310,여행사 및 기타 여행보조 서비스업,나모웹에디터,6/9/2000,12월,천세전,http://www.sejoong.com,서울특별시
손오공,066910,"인형,장난감 및 오락용품 제조업","완구,게임,캐릭터수입수수료",1/7/2005,12월,김종완,http://www.sonokong.co.kr,경기도
솔고바이오,043100,의료용 기기 제조업,"가정용 온열치료기,의료기구",8/8/2000,12월,"김서곤, 김일(각자대표)",http://www.solco.co.kr,경기도
솔루에타,154040,전자부품 제조업,전자파 차폐소재,12/27/2013,12월,유춘열,http://www.solueta.com,경기도
슈프리마에이치큐,094840,기타 금융업,지문인식솔루션및시스템,7/11/2008,12월,이재원,,경기도
슈피겐코리아,192440,그외 기타 제품 제조업,"핸드폰 케이스, 액정보호필름",11/5/2014,12월,김대영,http://www.spigen.co.kr,서울특별시
신라섬유,001000,부동산 임대 및 공급업,부동산,6/28/1994,12월,박재흥,무,대구광역시
신성델타테크,065350,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품",8/6/2004,12월,구자천,http://www.ssdelta.co.kr,경상남도
신진에스엠,138070,기타 금속 가공제품 제조업,표준 플레이트,11/28/2011,12월,김홍기,http://www.sinjin-sm.co.kr,전라북도
신한제3호스팩,257730,금융 지원 서비스업,기업인수합병,2/23/2017,12월,김철식,,서울특별시
신화인터텍,056700,플라스틱제품 제조업,디스플레이 BLU용 광학필름,12/13/2001,12월,윤승철,http://www.shinwha.com,충청남도
썸에이지,208640,소프트웨어 개발 및 공급업,기업인수합병,12/29/2014,12월,백 승 훈,,경기도
씨젠,096530,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",9/10/2010,12월,천종윤,http://seegene.co.kr,서울특별시
아이에스이커머스,069920,무점포 소매업,"해외, 국내 상품 소싱 및 판매대행 서비스",12/5/2007,12월,김응상,http://www.isecommerce.co.kr,서울특별시
야스,255440,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",9/29/2017,12월,정광호,http://www.yasoled.com,경기도
에스아이티글로벌,050320,기계장비 및 관련 물품 도매업,"중대형 서버, 시스템 S/W",1/15/2002,12월,최기용,http://sitglobal.co.kr,서울특별시
에스제이케이,080440,자동차 신품 부품 제조업,"자동차부품, 키보드 등",5/13/2005,12월,이승열,http://SEJIN.COM,서울특별시
에이치엘비,028300,선박 및 보트 건조업,"각종 산업용 밸브류, 제지·제철용기계,기타 특수목적용 산업기계",7/27/1996,12월,진양곤,http://www.hlbkorea.com,울산광역시
에이텍티앤,224110,통신 및 방송 장비 제조업,교통카드단말기,8/25/2015,12월,신승영,http://www.atectn.co.kr,경기도
에이티넘인베스트,021080,신탁업 및 집합투자업,벤처캐피탈,7/12/1991,12월,신기천,http://www.hanmivc.co.kr,서울특별시
에코플라스틱,038110,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,3/23/2000,12월,"서영종,김영석",http://WWW.AP.CO.KR,경상북도
엑시콘,092870,특수 목적용 기계 제조업,반도체 검사장비,10/22/2015,12월,박상준,http://www.exicon.co.kr,경기도
엔에이치스팩11호,256840,금융 지원 서비스업,기업인수합병,12/28/2016,12월,조경훈,,서울특별시
엔에이치스팩12호,273060,금융 지원 서비스업,기업인수합병,8/7/2017,12월,이병훈,,서울특별시
엠씨넥스,097520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈,7/25/2012,12월,민동욱,http://www.mcnex.com,서울특별시
